Scenario,Start,End,ShipName,CellsExpanded,PathCost,ActionAmount
1,189.78,80.11,BP_Ship_C_0,233,298,233
2,189.78,80.11,BP_Ship_C_1,68,109,68
2,81.68,100.42,BP_Ship_C_2,113,192,113
5,189.78,80.11,BP_Ship_C_3,139,160,139
5,81.68,100.42,BP_Ship_C_4,118,185,118
5,43.25,156.59,BP_Ship_C_5,152,195,152
5,133.93,116.87,BP_Ship_C_6,13,30,13
5,184.103,140.49,BP_Ship_C_7,73,124,73
10,189.78,80.11,BP_Ship_C_8,59,108,59
10,81.68,100.42,BP_Ship_C_9,133,204,133
10,43.25,156.59,BP_Ship_C_10,135,168,135
10,133.93,116.87,BP_Ship_C_11,210,263,210
10,184.103,140.49,BP_Ship_C_12,115,150,115
10,163.109,178.89,BP_Ship_C_13,195,242,195
10,47.45,37.56,BP_Ship_C_14,27,60,27
10,102.111,138.115,BP_Ship_C_15,15,24,15
10,95.96,108.95,BP_Ship_C_16,211,250,211
10,142.121,40.55,BP_Ship_C_17,60,107,60
25,189.78,80.11,BP_Ship_C_18,181,236,181
25,81.68,100.42,BP_Ship_C_19,82,127,82
25,43.25,156.59,BP_Ship_C_20,95,108,95
25,133.93,116.87,BP_Ship_C_21,279,334,279
25,184.103,140.49,BP_Ship_C_22,109,154,109
25,163.109,178.89,BP_Ship_C_23,163,186,163
25,47.45,37.56,BP_Ship_C_24,145,162,145
25,102.111,138.115,BP_Ship_C_25,239,328,239
25,95.96,108.95,BP_Ship_C_26,61,106,61
25,142.121,40.55,BP_Ship_C_27,117,168,117
25,138.156,154.46,BP_Ship_C_28,46,83,46
25,191.121,91.1,BP_Ship_C_29,200,253,200
25,74.20,115.137,BP_Ship_C_30,117,222,117
25,79.102,67.181,BP_Ship_C_31,152,187,152
25,133.90,164.109,BP_Ship_C_32,35,74,35
25,140.128,151.114,BP_Ship_C_33,42,69,42
25,141.144,126.140,BP_Ship_C_34,199,234,199
25,76.3,185.59,BP_Ship_C_35,94,147,94
25,76.124,86.69,BP_Ship_C_36,114,151,114
25,85.8,163.140,BP_Ship_C_37,224,293,224
25,7.122,146.46,BP_Ship_C_38,146,211,146
25,50.146,158.49,BP_Ship_C_39,233,266,233
25,163.81,139.154,BP_Ship_C_40,221,262,221
25,91.17,119.159,BP_Ship_C_41,85,138,85
25,28.54,172.84,BP_Ship_C_42,235,286,235
50,189.78,80.11,BP_Ship_C_43,45,60,45
50,81.68,100.42,BP_Ship_C_44,64,97,64
